DateTime,Power,Voltage
2004/1/20 10:00,27,72
2004/1/20 11:00,70,25
2004/1/20 12:00,46,22
2004/1/20 13:00,82,57
2004/1/20 14:00,95,37
2004/1/20 15:00,45,67
2004/1/20 16:00,49,80
2004/1/20 17:00,37,37
2004/1/20 18:00,30,40
2004/1/20 19:00,98,30
2004/1/20 20:00,74,25
2004/1/20 21:00,4,82
2004/1/20 22:00,6,62
2004/1/20 23:00,98,2
2005/1/20 0:00,6,5
2005/1/20 1:00,26,82
2005/1/20 2:00,25,5
2005/1/20 3:00,97,22
2005/1/20 4:00,40,20
2005/1/20 5:00,33,80
2005/1/20 6:00,21,32
2005/1/20 7:00,29,27
2005/1/20 8:00,1,17
2005/1/20 9:00,12,25
2005/1/20 10:00,18,0
2005/1/20 11:00,7,10
2005/1/20 12:00,58,15
2005/1/20 13:00,13,5
2005/1/20 14:00,42,47
2005/1/20 15:00,1,10
2005/1/20 15:59,44,35
2005/1/20 16:59,7,0
2005/1/20 17:59,54,37
2005/1/20 18:59,70,5
2005/1/20 19:59,67,45
2005/1/20 20:59,29,57
2005/1/20 21:59,59,55
2005/1/20 22:59,73,25
2005/1/20 23:59,5,50
2006/1/20 0:59,30,60
2006/1/20 1:59,30,5
2006/1/20 2:59,14,25
2006/1/20 3:59,85,25
2006/1/20 4:59,38,12
2006/1/20 5:59,74,70
2006/1/20 6:59,43,32
2006/1/20 7:59,16,62
2006/1/20 8:59,61,35
2006/1/20 9:59,34,12
2006/1/20 10:59,5,50
2006/1/20 11:59,74,27
2006/1/20 12:59,89,5
2006/1/20 13:59,8,62
2006/1/20 14:59,80,75
2006/1/20 15:59,14,7
2006/1/20 16:59,11,67
2006/1/20 17:59,74,12
2006/1/20 18:59,62,10
2006/1/20 19:59,99,62
2006/1/20 20:59,86,52
2006/1/20 21:59,93,82
2006/1/20 22:59,81,72
2006/1/20 23:59,62,77
2007/1/20 0:59,40,67
2007/1/20 1:59,10,52
2007/1/20 2:59,12,32
2007/1/20 3:59,43,7
2007/1/20 4:59,43,10
2007/1/20 5:59,28,35
2007/1/20 6:59,89,35
2007/1/20 7:59,29,22
2007/1/20 8:59,48,75
2007/1/20 9:59,1,25
2007/1/20 10:59,72,40
2007/1/20 11:59,30,0
2007/1/20 12:59,20,60
2007/1/20 13:59,81,25
2007/1/20 14:59,18,17
2007/1/20 15:59,29,67
2007/1/20 16:59,39,15
2007/1/20 17:59,59,25
2007/1/20 18:59,11,32
2007/1/20 19:59,83,50
2007/1/20 20:59,89,10
2007/1/20 21:59,98,70
2007/1/20 22:59,17,75
2007/1/20 23:59,75,82
2008/1/20 0:59,65,15
2008/1/20 1:59,44,62
2008/1/20 2:59,8,55
2008/1/20 3:59,69,37
2008/1/20 4:59,53,7
2008/1/20 5:59,28,57
2008/1/20 6:59,68,45
2008/1/20 7:59,33,22
2008/1/20 8:59,58,57
2008/1/20 9:59,52,27
2008/1/20 10:59,86,47
2008/1/20 11:59,66,42
2008/1/20 12:59,63,72
2008/1/20 13:59,85,55
2008/1/20 14:59,45,52
2008/1/20 15:59,36,70
2008/1/20 16:59,8,37
2008/1/20 17:59,63,30
2008/1/20 18:59,47,7
2008/1/20 19:59,73,52
2008/1/20 20:59,62,40
2008/1/20 21:59,61,60
2008/1/20 22:59,68,52
2008/1/20 23:59,19,50
2009/1/20 0:59,24,57
2009/1/20 1:59,43,15
2009/1/20 2:59,21,20
2009/1/20 3:59,51,35
2009/1/20 4:59,97,17
2009/1/20 5:59,97,42
2009/1/20 6:59,70,80
2009/1/20 7:59,58,80
2009/1/20 8:59,38,57
2009/1/20 9:59,85,47
2009/1/20 10:59,16,32
2009/1/20 11:59,53,70
2009/1/20 12:59,99,12
2009/1/20 13:59,42,45
2009/1/20 14:59,38,82
2009/1/20 15:59,35,35
2009/1/20 16:59,80,32
2009/1/20 17:59,54,30
2009/1/20 18:59,19,67
2009/1/20 19:59,60,45
2009/1/20 20:59,77,15
2009/1/20 21:59,95,50
2009/1/20 22:59,32,65
2009/1/20 23:59,30,80
2010/1/20 0:59,16,27
2010/1/20 1:59,21,25
2010/1/20 2:59,73,12
2010/1/20 3:59,54,17
2010/1/20 4:59,69,60
2010/1/20 5:59,86,45
2010/1/20 6:59,17,57
2010/1/20 7:59,18,72
2010/1/20 8:59,32,15
2010/1/20 9:59,30,15
2010/1/20 10:59,39,27
2010/1/20 11:59,51,25
2010/1/20 12:59,91,32
2010/1/20 13:59,99,42
2010/1/20 14:59,15,75
2010/1/20 15:59,86,82
2010/1/20 16:59,85,12
2010/1/20 17:59,83,72
2010/1/20 18:59,4,70
2010/1/20 19:59,60,70
2010/1/20 20:59,34,2
2010/1/20 21:59,95,50
2010/1/20 22:59,49,27
2010/1/20 23:59,86,80
2011/1/20 0:59,64,40
2011/1/20 1:59,24,72
2011/1/20 2:59,9,52
2011/1/20 3:59,59,20
2011/1/20 4:59,64,7
2011/1/20 5:59,59,50
2011/1/20 6:59,6,52
2011/1/20 7:59,67,50
2011/1/20 8:59,31,5
2011/1/20 9:59,36,55
2011/1/20 10:59,83,25
2011/1/20 11:59,94,30
2011/1/20 12:59,64,70
2011/1/20 13:59,4,77
2011/1/20 14:59,44,52
2011/1/20 15:59,73,2
2011/1/20 16:59,94,37
2011/1/20 17:59,12,60
2011/1/20 18:59,18,77
2011/1/20 19:59,1,10
2011/1/20 20:59,50,15
2011/1/20 21:59,49,0
2011/1/20 22:59,58,42
2011/1/20 23:59,50,40
2012/1/20 0:59,51,47
2012/1/20 1:59,25,42
2012/1/20 2:59,29,42
2012/1/20 3:59,89,20
2012/1/20 4:59,72,25
2012/1/20 5:59,68,75
2012/1/20 6:59,89,60
2012/1/20 7:59,32,57
2012/1/20 8:59,66,75
2012/1/20 9:59,51,27
2012/1/20 10:59,46,55
2012/1/20 11:59,80,42
2012/1/20 12:59,29,37
2012/1/20 13:59,74,67
2012/1/20 14:59,24,25
2012/1/20 15:59,12,62
2012/1/20 16:59,15,20
2012/1/20 17:59,93,10
2012/1/20 18:59,85,12
2012/1/20 19:59,63,77
2012/1/20 20:59,0,70
2012/1/20 21:59,48,52
2012/1/20 22:59,93,0
2012/1/20 23:59,55,40
2013/1/20 0:59,6,77
2013/1/20 1:59,82,45
2013/1/20 2:59,27,5
2013/1/20 3:59,24,67
2013/1/20 4:59,65,22
2013/1/20 5:59,6,20
2013/1/20 6:59,53,55
2013/1/20 7:59,34,5
2013/1/20 8:59,66,45
2013/1/20 9:59,28,27
2013/1/20 10:59,9,55
2013/1/20 11:59,69,22
2013/1/20 12:59,36,7
2013/1/20 13:59,83,57
2013/1/20 14:59,70,30
2013/1/20 15:59,10,70
2013/1/20 16:59,42,57
2013/1/20 17:59,3,7
2013/1/20 18:59,73,35
2013/1/20 19:59,1,2
2013/1/20 20:59,10,60
2013/1/20 21:59,96,0
2013/1/20 22:59,7,7
2013/1/20 23:59,12,80
2014/1/20 0:59,42,5
2014/1/20 1:59,6,10
2014/1/20 2:59,10,35
2014/1/20 3:59,92,5
2014/1/20 4:59,90,7
2014/1/20 5:59,85,77
2014/1/20 6:59,84,75
2014/1/20 7:59,81,70
2014/1/20 8:59,63,70
2014/1/20 9:59,7,67
2014/1/20 10:59,7,52
2014/1/20 11:59,44,5
2014/1/20 12:59,62,5
2014/1/20 13:59,45,37
2014/1/20 14:59,31,52
2014/1/20 15:59,84,37
2014/1/20 16:59,48,25
2014/1/20 17:59,72,70
2014/1/20 18:59,46,40
2014/1/20 19:59,23,60
2014/1/20 20:59,78,37
2014/1/20 21:59,65,20
2014/1/20 22:59,52,65
2014/1/20 23:59,2,55
2015/1/20 0:59,69,42
2015/1/20 1:59,18,2
2015/1/20 2:59,45,57
2015/1/20 3:59,98,15
2015/1/20 4:59,95,37
2015/1/20 5:59,34,82
2015/1/20 6:59,6,80
2015/1/20 7:59,74,27
2015/1/20 8:59,22,5
2015/1/20 9:59,86,62
2015/1/20 10:59,41,17
2015/1/20 11:59,66,72
2015/1/20 12:59,10,35
2015/1/20 13:59,59,55
2015/1/20 14:59,25,7
2015/1/20 15:59,39,50
2015/1/20 16:59,81,20
2015/1/20 17:59,49,32
2015/1/20 18:59,29,67
2015/1/20 19:59,17,40
2015/1/20 20:59,79,25
2015/1/20 21:59,85,15
2015/1/20 22:59,70,65
2015/1/20 23:59,38,70
2016/1/20 0:59,24,57
2016/1/20 1:59,61,32
2016/1/20 2:59,69,20
2016/1/20 3:59,68,50
2016/1/20 4:59,59,57
2016/1/20 5:59,68,57
2016/1/20 6:59,48,50
2016/1/20 7:59,82,57
2016/1/20 8:59,44,40
2016/1/20 9:59,4,67
2016/1/20 10:59,7,37
2016/1/20 11:59,38,2
2016/1/20 12:59,25,5
2016/1/20 13:59,19,32
2016/1/20 14:59,37,20
2016/1/20 15:59,89,15
2016/1/20 16:59,23,30
,,75
,,20
